event,value,size_bytes,stride_bytes,threads,pattern,gbs,huge
instructions,31851640,4194304,64,4,random,1.44172,0
cache-references,2073491,4194304,64,4,random,1.44172,0
cache-misses,828510,4194304,64,4,random,1.44172,0
LLC-loads,365350,4194304,64,4,random,1.44172,0
LLC-load-misses,237952,4194304,64,4,random,1.44172,0
dTLB-load-misses,5290,4194304,64,4,random,1.44172,0
iTLB-load-misses,3750,4194304,64,4,random,1.44172,0
cycles,42600056,4194304,64,4,random,1.61592,1
instructions,25130787,4194304,64,4,random,1.61592,1
cache-references,2014595,4194304,64,4,random,1.61592,1
cache-misses,925082,4194304,64,4,random,1.61592,1
LLC-loads,383119,4194304,64,4,random,1.61592,1
LLC-load-misses,215146,4194304,64,4,random,1.61592,1
dTLB-load-misses,2818,4194304,64,4,random,1.61592,1
iTLB-load-misses,2849,4194304,64,4,random,1.61592,1
cycles,15408400,4194304,256,1,seq,16.3415,0
instructions,12457885,4194304,256,1,seq,16.3415,0
cache-references,864345,4194304,256,1,seq,16.3415,0
cache-misses,523933,4194304,256,1,seq,16.3415,0
LLC-loads,221650,4194304,256,1,seq,16.3415,0
LLC-load-misses,129670,4194304,256,1,seq,16.3415,0
dTLB-load-misses,3613,4194304,256,1,seq,16.3415,0
iTLB-load-misses,1835,4194304,256,1,seq,16.3415,0
cycles,7417978,4194304,256,1,seq,17.1407,1
instructions,5647826,4194304,256,1,seq,17.1407,1
cache-references,418239,4194304,256,1,seq,17.1407,1
cache-misses,261013,4194304,256,1,seq,17.1407,1
LLC-loads,109461,4194304,256,1,seq,17.1407,1
LLC-load-misses,42089,4194304,256,1,seq,17.1407,1
dTLB-load-misses,1098,4194304,256,1,seq,17.1407,1
iTLB-load-misses,931,4194304,256,1,seq,17.1407,1
cycles,14478533,4194304,256,1,random,17.4227,0
instructions,13559786,4194304,256,1,random,17.4227,0
cache-references,713129,4194304,256,1,random,17.4227,0
cache-misses,399186,4194304,256,1,random,17.4227,0
LLC-loads,228092,4194304,256,1,random,17.4227,0
LLC-load-misses,133064,4194304,256,1,random,17.4227,0
dTLB-load-misses,3905,4194304,256,1,random,17.4227,0
iTLB-load-misses,3789,4194304,256,1,random,17.4227,0
cycles,13548233,4194304,256,1,random,18.6858,1
instructions,8532759,4194304,256,1,random,18.6858,1
cache-references,620965,4194304,256,1,random,18.6858,1
cache-misses,404134,4194304,256,1,random,18.6858,1
LLC-loads,159550,4194304,256,1,random,18.6858,1
LLC-load-misses,52828,4194304,256,1,random,18.6858,1
dTLB-load-misses,1345,4194304,256,1,random,18.6858,1
iTLB-load-misses,460,4194304,256,1,random,18.6858,1
cycles,13322847,4194304,256,2,seq,23.4848,0
instructions,11822668,4194304,256,2,seq,23.4848,0
cache-references,849084,4194304,256,2,seq,23.4848,0
cache-misses,446361,4194304,256,2,seq,23.4848,0
LLC-loads,187402,4194304,256,2,seq,23.4848,0
LLC-load-misses,43194,4194304,256,2,seq,23.4848,0
dTLB-load-misses,3188,4194304,256,2,seq,23.4848,0
iTLB-load-misses,2676,4194304,256,2,seq,23.4848,0
cycles,7622257,4194304,256,2,seq,18.6786,1
instructions,5843901,4194304,256,2,seq,18.6786,1
cache-references,408949,4194304,256,2,seq,18.6786,1
cache-misses,213327,4194304,256,2,seq,18.6786,1
LLC-loads,37628,4194304,256,2,seq,18.6786,1
LLC-load-misses,45301,4194304,256,2,seq,18.6786,1
dTLB-load-misses,939,4194304,256,2,seq,18.6786,1
iTLB-load-misses,882,4194304,256,2,seq,18.6786,1
cycles,17706843,4194304,256,2,random,12.4402,0
instructions,17062500,4194304,256,2,random,12.4402,0
cache-references,787350,4194304,256,2,random,12.4402,0
cache-misses,439062,4194304,256,2,random,12.4402,0
LLC-loads,162722,4194304,256,2,random,12.4402,0
LLC-load-misses,93597,4194304,256,2,random,12.4402,0
dTLB-load-misses,4117,4194304,256,2,random,12.4402,0
iTLB-load-misses,5309,4194304,256,2,random,12.4402,0
cycles,12062702,4194304,256,2,random,12.1472,1
instructions,8364050,4194304,256,2,random,12.1472,1
cache-references,804901,4194304,256,2,random,12.1472,1
cache-misses,396347,4194304,256,2,random,12.1472,1
LLC-loads,42372,4194304,256,2,random,12.1472,1
LLC-load-misses,23782,4194304,256,2,random,12.1472,1
dTLB-load-misses,1488,4194304,256,2,random,12.1472,1
iTLB-load-misses,1067,4194304,256,2,random,12.1472,1
cycles,14674609,4194304,256,4,seq,23.1102,0
instructions,13172802,4194304,256,4,seq,23.1102,0
cache-references,790619,4194304,256,4,seq,23.1102,0
cache-misses,370166,4194304,256,4,seq,23.1102,0
LLC-loads,166196,4194304,256,4,seq,23.1102,0
LLC-load-misses,45998,4194304,256,4,seq,23.1102,0
dTLB-load-misses,3780,4194304,256,4,seq,23.1102,0
iTLB-load-misses,3316,4194304,256,4,seq,23.1102,0
cycles,8082469,4194304,256,4,seq,13.1949,1
instructions,9604753,4194304,256,4,seq,13.1949,1
cache-references,555590,4194304,256,4,seq,13.1949,1
cache-misses,380065,4194304,256,4,seq,13.1949,1
LLC-loads,116968,4194304,256,4,seq,13.1949,1
LLC-load-misses,38538,4194304,256,4,seq,13.1949,1
dTLB-load-misses,1125,4194304,256,4,seq,13.1949,1
iTLB-load-misses,1576,4194304,256,4,seq,13.1949,1
cycles,21730185,4194304,256,4,random,9.66766,0
instructions,18188378,4194304,256,4,random,9.66766,0
cache-references,602154,4194304,256,4,random,9.66766,0
cache-misses,358816,4194304,256,4,random,9.66766,0
LLC-loads,121646,4194304,256,4,random,9.66766,0
LLC-load-misses,70917,4194304,256,4,random,9.66766,0
dTLB-load-misses,5558,4194304,256,4,random,9.66766,0
iTLB-load-misses,2341,4194304,256,4,random,9.66766,0
cycles,17216550,4194304,256,4,random,9.45759,1
instructions,10458904,4194304,256,4,random,9.45759,1
cache-references,818313,4194304,256,4,random,9.45759,1
cache-misses,377113,4194304,256,4,random,9.45759,1
LLC-loads,147613,4194304,256,4,random,9.45759,1
LLC-load-misses,49177,4194304,256,4,random,9.45759,1
dTLB-load-misses,2604,4194304,256,4,random,9.45759,1
iTLB-load-misses,671,4194304,256,4,random,9.45759,1
cycles,15186884,4194304,1024,1,seq,27.937,0
instructions,12879861,4194304,1024,1,seq,27.937,0
cache-references,443977,4194304,1024,1,seq,27.937,0
cache-misses,212549,4194304,1024,1,seq,27.937,0
LLC-loads,87632,4194304,1024,1,seq,27.937,0
LLC-load-misses,37234,4194304,1024,1,seq,27.937,0
dTLB-load-misses,7320,4194304,1024,1,seq,27.937,0
iTLB-load-misses,2271,4194304,1024,1,seq,27.937,0
cycles,8670159,4194304,1024,1,seq,28.1211,1
instructions,6196862,4194304,1024,1,seq,28.1211,1
cache-references,524224,4194304,1024,1,seq,28.1211,1
cache-misses,222915,4194304,1024,1,seq,28.1211,1
LLC-loads,50055,4194304,1024,1,seq,28.1211,1
LLC-load-misses,26058,4194304,1024,1,seq,28.1211,1
dTLB-load-misses,1549,4194304,1024,1,seq,28.1211,1
iTLB-load-misses,1246,4194304,1024,1,seq,28.1211,1
cycles,16148242,4194304,1024,1,random,21.0348,0
instructions,13166982,4194304,1024,1,random,21.0348,0
cache-references,484385,4194304,1024,1,random,21.0348,0
cache-misses,259574,4194304,1024,1,random,21.0348,0
LLC-loads,86738,4194304,1024,1,random,21.0348,0
LLC-load-misses,44550,4194304,1024,1,random,21.0348,0
dTLB-load-misses,10494,4194304,1024,1,random,21.0348,0
iTLB-load-misses,1657,4194304,1024,1,random,21.0348,0
cycles,9706573,4194304,1024,1,random,22.9521,1
instructions,7320682,4194304,1024,1,random,22.9521,1
cache-references,592167,4194304,1024,1,random,22.9521,1
cache-misses,218263,4194304,1024,1,random,22.9521,1
LLC-loads,38898,4194304,1024,1,random,22.9521,1
LLC-load-misses,13350,4194304,1024,1,random,22.9521,1
dTLB-load-misses,1905,4194304,1024,1,random,22.9521,1
iTLB-load-misses,1135,4194304,1024,1,random,22.9521,1
cycles,15520490,4194304,1024,2,seq,23.7916,0
instructions,13011884,4194304,1024,2,seq,23.7916,0
cache-references,500201,4194304,1024,2,seq,23.7916,0
cache-misses,299317,4194304,1024,2,seq,23.7916,0
LLC-loads,73104,4194304,1024,2,seq,23.7916,0
LLC-load-misses,31177,4194304,1024,2,seq,23.7916,0
dTLB-load-misses,4882,4194304,1024,2,seq,23.7916,0
iTLB-load-misses,2290,4194304,1024,2,seq,23.7916,0
cycles,9380666,4194304,1024,2,seq,25.8184,1
instructions,6278713,4194304,1024,2,seq,25.8184,1
cache-references,610276,4194304,1024,2,seq,25.8184,1
cache-misses,189461,4194304,1024,2,seq,25.8184,1
LLC-loads,32548,4194304,1024,2,seq,25.8184,1
LLC-load-misses,10464,4194304,1024,2,seq,25.8184,1
dTLB-load-misses,1554,4194304,1024,2,seq,25.8184,1
iTLB-load-misses,927,4194304,1024,2,seq,25.8184,1
cycles,14394387,4194304,1024,2,random,19.6911,0
instructions,12389697,4194304,1024,2,random,19.6911,0
cache-references,447211,4194304,1024,2,random,19.6911,0
cache-misses,270168,4194304,1024,2,random,19.6911,0
LLC-loads,67410,4194304,1024,2,random,19.6911,0
LLC-load-misses,26524,4194304,1024,2,random,19.6911,0
dTLB-load-misses,6259,4194304,1024,2,random,19.6911,0
iTLB-load-misses,1664,4194304,1024,2,random,19.6911,0
cycles,9669795,4194304,1024,2,random,29.0113,1
instructions,6840786,4194304,1024,2,random,29.0113,1
cache-references,537705,4194304,1024,2,random,29.0113,1
cache-misses,206906,4194304,1024,2,random,29.0113,1
LLC-loads,38761,4194304,1024,2,random,29.0113,1
LLC-load-misses,12464,4194304,1024,2,random,29.0113,1
dTLB-load-misses,1312,4194304,1024,2,random,29.0113,1
iTLB-load-misses,1084,4194304,1024,2,random,29.0113,1
cycles,13688897,4194304,1024,4,seq,21.2554,0
instructions,11335346,4194304,1024,4,seq,21.2554,0
cache-references,624610,4194304,1024,4,seq,21.2554,0
cache-misses,285629,4194304,1024,4,seq,21.2554,0
LLC-loads,71810,4194304,1024,4,seq,21.2554,0
LLC-load-misses,23633,4194304,1024,4,seq,21.2554,0
dTLB-load-misses,3828,4194304,1024,4,seq,21.2554,0
iTLB-load-misses,3657,4194304,1024,4,seq,21.2554,0
cycles,7031051,4194304,1024,4,seq,21.7163,1
instructions,8486153,4194304,1024,4,seq,21.7163,1
cache-references,488553,4194304,1024,4,seq,21.7163,1
cache-misses,241070,4194304,1024,4,seq,21.7163,1
LLC-loads,47337,4194304,1024,4,seq,21.7163,1
LLC-load-misses,13217,4194304,1024,4,seq,21.7163,1
dTLB-load-misses,1759,4194304,1024,4,seq,21.7163,1
iTLB-load-misses,2213,4194304,1024,4,seq,21.7163,1
cycles,18297271,4194304,1024,4,random,14.6179,0
instructions,14172477,4194304,1024,4,random,14.6179,0
cache-references,545700,4194304,1024,4,random,14.6179,0
cache-misses,257603,4194304,1024,4,random,14.6179,0
LLC-loads,65451,4194304,1024,4,random,14.6179,0
LLC-load-misses,26794,4194304,1024,4,random,14.6179,0
dTLB-load-misses,6147,4194304,1024,4,random,14.6179,0
iTLB-load-misses,2776,4194304,1024,4,random,14.6179,0
cycles,8683132,4194304,1024,4,random,25.6297,1
instructions,5752813,4194304,1024,4,random,25.6297,1
cache-references,510842,4194304,1024,4,random,25.6297,1
cache-misses,245574,4194304,1024,4,random,25.6297,1
LLC-loads,25906,4194304,1024,4,random,25.6297,1
LLC-load-misses,13210,4194304,1024,4,random,25.6297,1
dTLB-load-misses,1367,4194304,1024,4,random,25.6297,1
iTLB-load-misses,1266,4194304,1024,4,random,25.6297,1
cycles,11263940,4194304,4096,1,seq,46.3383,0
instructions,10933475,4194304,4096,1,seq,46.3383,0
cache-references,440670,4194304,4096,1,seq,46.3383,0
cache-misses,217294,4194304,4096,1,seq,46.3383,0
LLC-loads,45906,4194304,4096,1,seq,46.3383,0
LLC-load-misses,12401,4194304,4096,1,seq,46.3383,0
dTLB-load-misses,3087,4194304,4096,1,seq,46.3383,0
iTLB-load-misses,1901,4194304,4096,1,seq,46.3383,0
cycles,5847926,4194304,4096,1,seq,37.1223,1
instructions,5319928,4194304,4096,1,seq,37.1223,1
cache-references,329512,4194304,4096,1,seq,37.1223,1
cache-misses,184969,4194304,4096,1,seq,37.1223,1
LLC-loads,24168,4194304,4096,1,seq,37.1223,1
LLC-load-misses,9191,4194304,4096,1,seq,37.1223,1
dTLB-load-misses,875,4194304,4096,1,seq,37.1223,1
iTLB-load-misses,1011,4194304,4096,1,seq,37.1223,1
cycles,10972443,4194304,4096,1,random,43.3318,0
instructions,11122572,4194304,4096,1,random,43.3318,0
cache-references,550966,4194304,4096,1,random,43.3318,0
cache-misses,246985,4194304,4096,1,random,43.3318,0
LLC-loads,30485,4194304,4096,1,random,43.3318,0
LLC-load-misses,9747,4194304,4096,1,random,43.3318,0
dTLB-load-misses,4481,4194304,4096,1,random,43.3318,0
iTLB-load-misses,2879,4194304,4096,1,random,43.3318,0
cycles,6593597,4194304,4096,1,random,22.236,1
instructions,5176893,4194304,4096,1,random,22.236,1
cache-references,331336,4194304,4096,1,random,22.236,1
cache-misses,189755,4194304,4096,1,random,22.236,1
LLC-loads,18401,4194304,4096,1,random,22.236,1
LLC-load-misses,11447,4194304,4096,1,random,22.236,1
dTLB-load-misses,717,4194304,4096,1,random,22.236,1
iTLB-load-misses,839,4194304,4096,1,random,22.236,1
cycles,14731511,4194304,4096,2,seq,38.2608,0
instructions,12575607,4194304,4096,2,seq,38.2608,0
cache-references,505213,4194304,4096,2,seq,38.2608,0
cache-misses,235304,4194304,4096,2,seq,38.2608,0
LLC-loads,53102,4194304,4096,2,seq,38.2608,0
LLC-load-misses,22273,4194304,4096,2,seq,38.2608,0
dTLB-load-misses,3326,4194304,4096,2,seq,38.2608,0
iTLB-load-misses,1701,4194304,4096,2,seq,38.2608,0
cycles,9453076,4194304,4096,2,seq,51.1661,1
instructions,6284113,4194304,4096,2,seq,51.1661,1
cache-references,644065,4194304,4096,2,seq,51.1661,1
cache-misses,222122,4194304,4096,2,seq,51.1661,1
LLC-loads,48901,4194304,4096,2,seq,51.1661,1
LLC-load-misses,14149,4194304,4096,2,seq,51.1661,1
dTLB-load-misses,1488,4194304,4096,2,seq,51.1661,1
iTLB-load-misses,796,4194304,4096,2,seq,51.1661,1
cycles,13318707,4194304,4096,2,random,40.5805,0
instructions,12227559,4194304,4096,2,random,40.5805,0
cache-references,508630,4194304,4096,2,random,40.5805,0
cache-misses,257340,4194304,4096,2,random,40.5805,0
LLC-loads,46998,4194304,4096,2,random,40.5805,0
LLC-load-misses,18081,4194304,4096,2,random,40.5805,0
dTLB-load-misses,2998,4194304,4096,2,random,40.5805,0
iTLB-load-misses,3428,4194304,4096,2,random,40.5805,0
cycles,8992802,4194304,4096,2,random,28.8135,1
instructions,6074994,4194304,4096,2,random,28.8135,1
cache-references,479759,4194304,4096,2,random,28.8135,1
cache-misses,173571,4194304,4096,2,random,28.8135,1
LLC-loads,35073,4194304,4096,2,random,28.8135,1
LLC-load-misses,11379,4194304,4096,2,random,28.8135,1
dTLB-load-misses,1564,4194304,4096,2,random,28.8135,1
iTLB-load-misses,987,4194304,4096,2,random,28.8135,1
cycles,10735735,4194304,4096,4,seq,17.9146,0
instructions,12030275,4194304,4096,4,seq,17.9146,0
cache-references,566918,4194304,4096,4,seq,17.9146,0
cache-misses,211444,4194304,4096,4,seq,17.9146,0
LLC-loads,24809,4194304,4096,4,seq,17.9146,0
LLC-load-misses,5804,4194304,4096,4,seq,17.9146,0
dTLB-load-misses,6429,4194304,4096,4,seq,17.9146,0
iTLB-load-misses,3750,4194304,4096,4,seq,17.9146,0
cycles,7580538,4194304,4096,4,seq,31.5061,1
instructions,6276881,4194304,4096,4,seq,31.5061,1
cache-references,373737,4194304,4096,4,seq,31.5061,1
cache-misses,193114,4194304,4096,4,seq,31.5061,1
LLC-loads,23055,4194304,4096,4,seq,31.5061,1
LLC-load-misses,9282,4194304,4096,4,seq,31.5061,1
dTLB-load-misses,1267,4194304,4096,4,seq,31.5061,1
iTLB-load-misses,1363,4194304,4096,4,seq,31.5061,1
cycles,11122580,4194304,4096,4,random,28.6267,0
instructions,12521841,4194304,4096,4,random,28.6267,0
cache-references,567420,4194304,4096,4,random,28.6267,0
cache-misses,232127,4194304,4096,4,random,28.6267,0
LLC-loads,33733,4194304,4096,4,random,28.6267,0
LLC-load-misses,11291,4194304,4096,4,random,28.6267,0
dTLB-load-misses,3076,4194304,4096,4,random,28.6267,0
iTLB-load-misses,4106,4194304,4096,4,random,28.6267,0
cycles,7753464,4194304,4096,4,random,27.1689,1
instructions,7820274,4194304,4096,4,random,27.1689,1
cache-references,495837,4194304,4096,4,random,27.1689,1
cache-misses,288240,4194304,4096,4,random,27.1689,1
LLC-loads,28358,4194304,4096,4,random,27.1689,1
LLC-load-misses,11822,4194304,4096,4,random,27.1689,1
dTLB-load-misses,1582,4194304,4096,4,random,27.1689,1
iTLB-load-misses,1380,4194304,4096,4,random,27.1689,1
cycles,58270391,16777216,64,1,seq,6.0068,0
instructions,39527192,16777216,64,1,seq,6.0068,0
cache-references,4519795,16777216,64,1,seq,6.0068,0
cache-misses,3108087,16777216,64,1,seq,6.0068,0
LLC-loads,1480371,16777216,64,1,seq,6.0068,0
LLC-load-misses,852264,16777216,64,1,seq,6.0068,0
dTLB-load-misses,34327,16777216,64,1,seq,6.0068,0
iTLB-load-misses,6708,16777216,64,1,seq,6.0068,0
cycles,41364892,16777216,64,1,seq,6.4931,1
instructions,20337787,16777216,64,1,seq,6.4931,1
cache-references,4717431,16777216,64,1,seq,6.4931,1
cache-misses,2978833,16777216,64,1,seq,6.4931,1
LLC-loads,1460972,16777216,64,1,seq,6.4931,1
LLC-load-misses,989590,16777216,64,1,seq,6.4931,1
dTLB-load-misses,1847,16777216,64,1,seq,6.4931,1
iTLB-load-misses,739,16777216,64,1,seq,6.4931,1
cycles,131183714,16777216,64,1,random,2.75563,0
instructions,85445106,16777216,64,1,random,2.75563,0
cache-references,5081134,16777216,64,1,random,2.75563,0
cache-misses,4065608,16777216,64,1,random,2.75563,0
LLC-loads,2625074,16777216,64,1,random,2.75563,0
LLC-load-misses,2398796,16777216,64,1,random,2.75563,0
dTLB-load-misses,1410888,16777216,64,1,random,2.75563,0
iTLB-load-misses,8949,16777216,64,1,random,2.75563,0
cycles,130605954,16777216,64,1,random,2.83468,1
instructions,62174427,16777216,64,1,random,2.83468,1
cache-references,5412861,16777216,64,1,random,2.83468,1
cache-misses,4172477,16777216,64,1,random,2.83468,1
LLC-loads,2395994,16777216,64,1,random,2.83468,1
LLC-load-misses,2373836,16777216,64,1,random,2.83468,1
dTLB-load-misses,9787,16777216,64,1,random,2.83468,1
iTLB-load-misses,1870,16777216,64,1,random,2.83468,1
cycles,55936293,16777216,64,2,seq,7.92155,0
instructions,37983104,16777216,64,2,seq,7.92155,0
cache-references,3521447,16777216,64,2,seq,7.92155,0
cache-misses,1952054,16777216,64,2,seq,7.92155,0
LLC-loads,918187,16777216,64,2,seq,7.92155,0
LLC-load-misses,456971,16777216,64,2,seq,7.92155,0
dTLB-load-misses,35594,16777216,64,2,seq,7.92155,0
iTLB-load-misses,4941,16777216,64,2,seq,7.92155,0
cycles,36188187,16777216,64,2,seq,7.1989,1
instructions,20562653,16777216,64,2,seq,7.1989,1
cache-references,3213884,16777216,64,2,seq,7.1989,1
cache-misses,2107015,16777216,64,2,seq,7.1989,1
LLC-loads,1268038,16777216,64,2,seq,7.1989,1
LLC-load-misses,959959,16777216,64,2,seq,7.1989,1
dTLB-load-misses,1318,16777216,64,2,seq,7.1989,1
iTLB-load-misses,1239,16777216,64,2,seq,7.1989,1
cycles,157062980,16777216,64,2,random,3.14936,0
instructions,91534439,16777216,64,2,random,3.14936,0
cache-references,5624196,16777216,64,2,random,3.14936,0
cache-misses,4701355,16777216,64,2,random,3.14936,0
LLC-loads,1991068,16777216,64,2,random,3.14936,0
LLC-load-misses,1799699,16777216,64,2,random,3.14936,0
dTLB-load-misses,513722,16777216,64,2,random,3.14936,0
iTLB-load-misses,7621,16777216,64,2,random,3.14936,0
cycles,125957564,16777216,64,2,random,2.66653,1
instructions,70712027,16777216,64,2,random,2.66653,1
cache-references,6040405,16777216,64,2,random,2.66653,1
cache-misses,4573126,16777216,64,2,random,2.66653,1
LLC-loads,1863987,16777216,64,2,random,2.66653,1
LLC-load-misses,1638206,16777216,64,2,random,2.66653,1
dTLB-load-misses,9823,16777216,64,2,random,2.66653,1
iTLB-load-misses,3644,16777216,64,2,random,2.66653,1
cycles,56547094,16777216,64,4,seq,5.45214,0
instructions,46631878,16777216,64,4,seq,5.45214,0
cache-references,2987224,16777216,64,4,seq,5.45214,0
cache-misses,2050252,16777216,64,4,seq,5.45214,0
LLC-loads,1082235,16777216,64,4,seq,5.45214,0
LLC-load-misses,876034,16777216,64,4,seq,5.45214,0
dTLB-load-misses,20362,16777216,64,4,seq,5.45214,0
iTLB-load-misses,7015,16777216,64,4,seq,5.45214,0
cycles,38482271,16777216,64,4,seq,12.4287,1
instructions,18212014,16777216,64,4,seq,12.4287,1
cache-references,3449655,16777216,64,4,seq,12.4287,1
cache-misses,1880949,16777216,64,4,seq,12.4287,1
LLC-loads,850291,16777216,64,4,seq,12.4287,1
LLC-load-misses,650717,16777216,64,4,seq,12.4287,1
dTLB-load-misses,2914,16777216,64,4,seq,12.4287,1
iTLB-load-misses,529,16777216,64,4,seq,12.4287,1
cycles,182123022,16777216,64,4,random,2.92048,0
instructions,103854415,16777216,64,4,random,2.92048,0
cache-references,6376054,16777216,64,4,random,2.92048,0
cache-misses,5072941,16777216,64,4,random,2.92048,0
LLC-loads,1711163,16777216,64,4,random,2.92048,0
LLC-load-misses,1492945,16777216,64,4,random,2.92048,0
dTLB-load-misses,92378,16777216,64,4,random,2.92048,0
iTLB-load-misses,8859,16777216,64,4,random,2.92048,0
cycles,166097335,16777216,64,4,random,1.86558,1
instructions,81930034,16777216,64,4,random,1.86558,1
cache-references,6451169,16777216,64,4,random,1.86558,1
cache-misses,5007370,16777216,64,4,random,1.86558,1
LLC-loads,1610486,16777216,64,4,random,1.86558,1
LLC-load-misses,1445156,16777216,64,4,random,1.86558,1
dTLB-load-misses,14172,16777216,64,4,random,1.86558,1
iTLB-load-misses,2142,16777216,64,4,random,1.86558,1
cycles,46274041,16777216,256,1,seq,11.6176,0
instructions,35326191,16777216,256,1,seq,11.6176,0
cache-references,2369355,16777216,256,1,seq,11.6176,0
cache-misses,1771642,16777216,256,1,seq,11.6176,0
LLC-loads,555847,16777216,256,1,seq,11.6176,0
LLC-load-misses,527830,16777216,256,1,seq,11.6176,0
dTLB-load-misses,40285,16777216,256,1,seq,11.6176,0
iTLB-load-misses,5792,16777216,256,1,seq,11.6176,0
cycles,25554673,16777216,256,1,seq,14.0668,1
instructions,15540356,16777216,256,1,seq,14.0668,1
cache-references,2342231,16777216,256,1,seq,14.0668,1
cache-misses,1794041,16777216,256,1,seq,14.0668,1
LLC-loads,572724,16777216,256,1,seq,14.0668,1
LLC-load-misses,562930,16777216,256,1,seq,14.0668,1
dTLB-load-misses,1577,16777216,256,1,seq,14.0668,1
iTLB-load-misses,914,16777216,256,1,seq,14.0668,1
cycles,53025770,16777216,256,1,random,9.40104,0
instructions,51787538,16777216,256,1,random,9.40104,0
cache-references,1530475,16777216,256,1,random,9.40104,0
cache-misses,1153447,16777216,256,1,random,9.40104,0
LLC-loads,723897,16777216,256,1,random,9.40104,0
LLC-load-misses,685509,16777216,256,1,random,9.40104,0
dTLB-load-misses,502101,16777216,256,1,random,9.40104,0
iTLB-load-misses,7256,16777216,256,1,random,9.40104,0
cycles,32138351,16777216,256,1,random,9.27467,1
instructions,22695853,16777216,256,1,random,9.27467,1
cache-references,2006932,16777216,256,1,random,9.27467,1
cache-misses,1198432,16777216,256,1,random,9.27467,1
LLC-loads,549340,16777216,256,1,random,9.27467,1
LLC-load-misses,465402,16777216,256,1,random,9.27467,1
dTLB-load-misses,544,16777216,256,1,random,9.27467,1
iTLB-load-misses,201,16777216,256,1,random,9.27467,1
cycles,48812979,16777216,256,2,seq,24.6514,0
instructions,36155181,16777216,256,2,seq,24.6514,0
cache-references,1808482,16777216,256,2,seq,24.6514,0
cache-misses,1055133,16777216,256,2,seq,24.6514,0
LLC-loads,246474,16777216,256,2,seq,24.6514,0
LLC-load-misses,343283,16777216,256,2,seq,24.6514,0
dTLB-load-misses,43707,16777216,256,2,seq,24.6514,0
iTLB-load-misses,4670,16777216,256,2,seq,24.6514,0
cycles,22540187,16777216,256,2,seq,19.8911,1
instructions,15206793,16777216,256,2,seq,19.8911,1
cache-references,2167003,16777216,256,2,seq,19.8911,1
cache-misses,1325323,16777216,256,2,seq,19.8911,1
LLC-loads,369423,16777216,256,2,seq,19.8911,1
LLC-load-misses,448117,16777216,256,2,seq,19.8911,1
dTLB-load-misses,1917,16777216,256,2,seq,19.8911,1
iTLB-load-misses,1013,16777216,256,2,seq,19.8911,1
cycles,62119245,16777216,256,2,random,7.08804,0
instructions,48393508,16777216,256,2,random,7.08804,0
cache-references,2074895,16777216,256,2,random,7.08804,0
cache-misses,1325636,16777216,256,2,random,7.08804,0
LLC-loads,545833,16777216,256,2,random,7.08804,0
LLC-load-misses,488575,16777216,256,2,random,7.08804,0
dTLB-load-misses,155433,16777216,256,2,random,7.08804,0
iTLB-load-misses,6917,16777216,256,2,random,7.08804,0
cycles,44351648,16777216,256,2,random,10.0362,1
instructions,24496774,16777216,256,2,random,10.0362,1
cache-references,2324653,16777216,256,2,random,10.0362,1
cache-misses,1391861,16777216,256,2,random,10.0362,1
LLC-loads,450259,16777216,256,2,random,10.0362,1
LLC-load-misses,397023,16777216,256,2,random,10.0362,1
dTLB-load-misses,3364,16777216,256,2,random,10.0362,1
iTLB-load-misses,1903,16777216,256,2,random,10.0362,1
cycles,46233841,16777216,256,4,seq,12.5855,0
instructions,45294302,16777216,256,4,seq,12.5855,0
cache-references,1466917,16777216,256,4,seq,12.5855,0
cache-misses,1005279,16777216,256,4,seq,12.5855,0
LLC-loads,474705,16777216,256,4,seq,12.5855,0
LLC-load-misses,411400,16777216,256,4,seq,12.5855,0
dTLB-load-misses,27143,16777216,256,4,seq,12.5855,0
iTLB-load-misses,5881,16777216,256,4,seq,12.5855,0
cycles,24267342,16777216,256,4,seq,24.4079,1
instructions,17087952,16777216,256,4,seq,24.4079,1
cache-references,1893172,16777216,256,4,seq,24.4079,1
cache-misses,1162426,16777216,256,4,seq,24.4079,1
LLC-loads,352584,16777216,256,4,seq,24.4079,1
LLC-load-misses,387029,16777216,256,4,seq,24.4079,1
dTLB-load-misses,1512,16777216,256,4,seq,24.4079,1
iTLB-load-misses,1069,16777216,256,4,seq,24.4079,1
cycles,74352678,16777216,256,4,random,8.49073,0
instructions,54987559,16777216,256,4,random,8.49073,0
cache-references,2346165,16777216,256,4,random,8.49073,0
cache-misses,1452052,16777216,256,4,random,8.49073,0
LLC-loads,417830,16777216,256,4,random,8.49073,0
LLC-load-misses,312859,16777216,256,4,random,8.49073,0
dTLB-load-misses,33735,16777216,256,4,random,8.49073,0
iTLB-load-misses,6636,16777216,256,4,random,8.49073,0
cycles,47482370,16777216,256,4,random,4.86529,1
instructions,33533043,16777216,256,4,random,4.86529,1
cache-references,2808839,16777216,256,4,random,4.86529,1
cache-misses,1477449,16777216,256,4,random,4.86529,1
LLC-loads,417693,16777216,256,4,random,4.86529,1
LLC-load-misses,342627,16777216,256,4,random,4.86529,1
dTLB-load-misses,837,16777216,256,4,random,4.86529,1
iTLB-load-misses,698,16777216,256,4,random,4.86529,1
cycles,36139494,16777216,1024,1,seq,45.9915,0
instructions,34151906,16777216,1024,1,seq,45.9915,0
